Angle;monolithic;monolithic_cubemap;tiles;viewport_dependent;tiles_partial;viewport_only;viewport_only_modified
-180;0;0.5;-1.1;-1.1;-2.7;0.6;0.6
-170;0;0.4;-1.05;-1.05;-2.7;0.6;0.6
-160;0;0.3;-1.05;-1;-2.7;0.6;0.6
-150;0;0.2;-1.05;-0.95;-2.7;0.6;0.6
-140;0;0.15;-1.1;-0.9;-2.7;0.6;0.6
-130;0;0.15;-0.9;-0.85;-2.7;0.6;0.6
-120;0;0.2;-0.75;-0.75;-2.7;0.6;0.6
-110;0;0.3;-0.5;-0.5;-2.7;0.6;0.6
-100;0;0.4;-0.25;-0.2;-2.7;0.6;0.6
-90;0;0.45;0;0.25;-2.7;0.6;0.6
-80;0;0.4;0.35;0.6;-2.7;0.6;0.6
-70;0;0.25;0.8;1.05;-2.7;0.6;0.6
-60;0;0.15;1.2;1.25;-2.7;0.6;0.6
-50;0;0.07;1.7;1.4;-2.7;0.6;0.6
-40;0;0.05;2.1;1.55;3.04;0.6;0.6
-30;0;0.07;2.15;1.75;3.09;0.6;0.6
-20;0;0.2;2.16;2.15;3.1;0.6;0.6
-10;0;0.35;2.15;2.35;3.09;0.6;7.2
0;0;0.45;2.1;2.35;3.04;7.2;7.2
10;0;0.35;2.15;2.3;3.09;0.6;7.2
20;0;0.2;2.14;2.1;3.08;0.6;0.6
30;0;0.1;2.1;1.8;3.04;0.6;0.6
40;0;0.05;2.05;1.6;2.99;0.6;0.6
50;0;0.1;1.6;1.45;-2.7;0.6;0.6
60;0;0.2;1.2;1.35;-2.7;0.6;0.6
70;0;0.3;0.8;1.1;-2.7;0.6;0.6
80;0;0.4;0.4;0.65;-2.7;0.6;0.6
90;0;0.45;0.1;0.3;-2.7;0.6;0.6
100;0;0.4;-0.15;-0.1;-2.7;0.6;0.6
110;0;0.3;-0.4;-0.4;-2.7;0.6;0.6
120;0;0.2;-0.6;-0.7;-2.7;0.6;0.6
130;0;0.14;-0.85;-0.85;-2.7;0.6;0.6
140;0;0.13;-1.05;-0.9;-2.7;0.6;0.6
150;0;0.16;-1.05;-0.95;-2.7;0.6;0.6
160;0;0.25;-1.05;-1;-2.7;0.6;0.6
170;0;0.4;-1.05;-1.1;-2.7;0.6;0.6
180;0;0.5;-1.1;-1.1;-2.7;0.6;0.6